id,nombre,marca,tipo,presentacion,tono,distribuidor,ciudad_despacho,precio_unitario_detal_cop,precio_unitario_mayorista_cop,cantidad_minima_mayorista,calificacion,num_resenas,stock_unidades,costo_envio_cop,beneficios
dis-001,Labial liquido SuperStay Matte Ink Maybelline 5ml x unidad,Maybelline,labial,5 ml,80 Ruler,Distribuidora Belleza Express,Bogota,48000,38000,12,4.6,310,120,12000,"Precio mayorista para revendedores; factura; producto original"
dis-002,SuperStay Matte Ink Maybelline tono 80 caja x 12 unidades,Maybelline,labial,5 ml x 12,80 Ruler,Distribuidora Belleza Express,Bogota,,37000,12,4.6,310,10,12000,"Caja cerrada de 12 unidades tono 80"
dis-003,Labial SuperStay Matte Ink Maybelline varios tonos,Maybelline,labial,5 ml,Variados,Cosmeticos Mayoristas del Norte,Medellin,45500,39000,10,4.2,58,60,9000,"Se despachan tonos surtidos segun disponibilidad"
dis-004,Base Infallible 24H Fresh Wear L'Oreal 30ml por unidad,L'Oreal Paris,base,30 ml,200 Natural Linen,Distribuidora Belleza Express,Bogota,65000,52000,10,4.7,142,35,12000,"Original con registro INVIMA"
dis-005,Rimel Sky High Maybelline 7.2ml por unidad,Maybelline,rimel,7.2 ml,Negro,Cosmeticos Mayoristas del Norte,Medellin,36000,30000,15,4.5,96,80,9000,"Minimo 15 unidades para precio mayorista"
dis-006,Paleta sombras Vizzela Nude Edition al por mayor,Vizzela,paleta_sombras,12 x 1 g,Nude Edition,Distribuidora Belleza Express,Bogota,29000,22000,20,4.5,74,90,10000,"Marca colombiana con margen alto de reventa"
dis-007,Corrector True Match L'Oreal 6.3ml unidad,L'Oreal Paris,corrector,6.3 ml,3N Creamy Beige,Cosmeticos Mayoristas del Norte,Medellin,35000,27000,12,4.4,49,40,9000,"Corrector radiante original"
dis-008,Rubor Vizzela Soft Cheeks por docena,Vizzela,rubor,5 g,Rosy Peach,Distribuidora Belleza Express,Bogota,18000,13500,24,4.5,52,150,10000,"Docena de rubores surtidos en tonos rosados"
dis-009,Fijador Urban Decay All Nighter 118ml distribucion,Urban Decay,fijador,118 ml,,Cosmeticos Mayoristas del Norte,Medellin,125000,110000,6,4.8,37,8,14000,"Producto importado USA, stock muy limitado"
dis-010,Delineador Rimmel Wonder Swipe unidad,Rimmel London,delineador,1.7 ml,Insta Black,Distribuidora Belleza Express,Bogota,28000,21000,15,4.3,44,55,12000,"Delineador 2 en 1 original"
dis-011,Polvo compacto Fit Me Maybelline 220 unidad,Maybelline,polvo_compacto,9 g,220 Natural Beige,Cosmeticos Mayoristas del Norte,Medellin,30000,24000,12,4.4,67,70,9000,"Polvo matte poreless"
dis-012,Primer NYX Pore Filler 20ml distribuidores,NYX,primer,20 ml,,Distribuidora Belleza Express,Bogota,55000,45000,8,4.6,39,25,12000,"Primer difusor de poros"
dis-013,Brillo labial Esika Ultra Gloss por unidad,Esika,brillo_labial,8 ml,Cereza Glow,Distribuidora Belleza Express,Bogota,20000,15500,18,4.2,61,130,10000,"Catalogo Belcorp con descuento por volumen"
dis-014,Set esponja + brocha kabuki por lote x 10,Generico,accesorios,Set 2 piezas,,Cosmeticos Mayoristas del Norte,Medellin,26000,17500,10,4.0,23,200,8000,"Kit economico para reventa"
dis-015,Rubor liquido Rare Beauty Soft Pinch Joy,Rare Beauty,rubor,7.5 ml,Joy,Cosmeticos Mayoristas del Norte,Medellin,95000,82000,6,4.7,18,5,14000,"Importado, pocas unidades disponibles"
dis-016,Base Fit Me Matte Poreless Maybelline 115 unidad,Maybelline,base,30 ml,115 Ivory,Cosmeticos Mayoristas del Norte,Medellin,34000,26500,12,4.5,81,65,9000,"Base tonos claros mas vendida"
dis-017,Rimel Colossal Maybelline Glam Black unidad,Maybelline,rimel,10.7 ml,Glam Black,Distribuidora Belleza Express,Bogota,32000,24500,14,4.4,58,48,12000,"Volumen x7 original"
dis-018,Paleta Huda Beauty Obsessions Ruby,Huda Beauty,paleta_sombras,9 x 1.2 g,Ruby Obsessions,Cosmeticos Mayoristas del Norte,Medellin,165000,148000,4,4.8,11,4,14000,"Paleta premium importada Emiratos"
